Top 100 authors with most co-authors,0
,0
Wei Li,3642
Yang Liu,3436
Wei Wang,3407
Wei Zhang,3337
Lei Zhang,3318
Yu Zhang,3224
Lei Wang,3039
Li Zhang,2678
Xin Wang,2623
Jing Wang,2571
Yan Li,2560
Wei Liu,2512
Yang Li,2505
Wei Chen,2491
Yi Zhang,2478
Xin Li,2425
Jing Li,2376
Jian Wang,2352
Jun Wang,2337
Jing Zhang,2327
Yan Zhang,2269
Xi Chen,2155
Yang Yang,2113
Peng Wang,2105
Ying Wang,2102
Yan Wang,2101
Ying Li,2098
Jie Zhang,2091
Bo Li,2057
Hui Li,2030
Jun Zhang,2028
Li Li,2026
Li Wang,2018
Hao Wang,1992
Jie Li,1980
Jing Liu,1974
Xin Zhang,1948
Yu Wang,1933
Jun Li,1933
Xin Liu,1909
Tao Wang,1876
Yang Wang,1876
Yi Wang,1842
Yang Zhang,1817
Fan Zhang,1804
Ying Zhang,1795
Hao Zhang,1787
Yong Wang,1783
Bin Li,1764
Chao Wang,1757
Fan Yang,1750
Hui Wang,1749
Jie Chen,1722
Tao Zhang,1713
Yong Zhang,1711
Wei Wu,1704
Wei Wei,1700
Chang Liu,1697
Xiang Li,1641
Hao Li,1638
Yu Liu,1635
Rui Zhang,1624
Qi Wang,1612
Ming Li,1598
Yan Liu,1593
Qiang Wang,1580
Kai Wang,1559
Rui Wang,1543
Peng Zhang,1539
Chao Li,1535
Qian Wang,1533
Bin Liu,1533
Feng Li,1532
Xin Chen,1527
Lei Liu,1526
Hui Zhang,1525
Qiang Li,1502
Jian Zhang,1495
Fei Wang,1489
Hao Chen,1481
Peng Li,1476
Bo Wang,1475
Bo Zhang,1458
Jie Liu,1456
Jian Li,1444
Feng Wang,1437
Bin Wang,1431
Tao Li,1429
Yu Chen,1422
Qi Zhang,1414
Li Chen,1413
Yue Wang,1392
Ying Liu,1382
Lei Chen,1382
Dong Wang,1379
Bo Liu,1378
Wei Xu,1376
Rui Li,1373
Chao Zhang,1373
Jun Liu,1371
,0
Top 100 authors with no co-authors,0
,0
C. P. Gill,0
Robert J. Betts,0
Christopher Mohri,0
Hartmut Michels,0
Angus Dunn,0
Martin Flöck,0
John H. Picklo,0
Kendall Bartsch,0
Theeratorn Lersilp,0
Rooholah Majdodin,0
Gregory E. Feldkamp,0
Gabor Laszlo,0
K. Tchou,0
Paul A. Dobosh,0
Hubert Halkin,0
I. A. Moneim,0
H. B. Humpidge,0
I. M. Dremin,0
Gabriel Fiorelli Bernini,0
M. E. Ulig,0
Torsten J. Koerting,0
Howard Kleiman,0
Philip Wallack,0
Thilo Zieschang,0
Paul Alexander Bernal,0
A. V. Babash,0
Stephanie Ja-Yi Chiu,0
Winny Akullo Nekesa,0
Douglas Lloyd,0
Arkady Poliakovsky,0
Ahmed Tantawi,0
Rinat Galiautdinov,0
Lam Tang,0
Dijana Bergmann,0
Florent Calvayrac,0
Oisin Suttle,0
Roland Garz,0
Edward Howlett Spence,0
H. W. Thomas,0
H. Kaiser,0
Cristian Craioveanu,0
C. Jaschek,0
Lubomír Ohera,0
Karim Grissa,0
J. C. Ryden,0
P. T. Pilgram,0
Aleksander Zubov,0
Elizabeth Rodwell,0
Lucas Batista Freitas,0
R. Nägele,0
Daiwen Wu,0
Stephen J. Ganocy,0
Robert Heinmiller,0
A. Göker,0
Eeva M. Pilke,0
E. K. Gousseva,0
Paul Dudgeon,0
Jerry L. Jensen,0
Wenguo Shen,0
Gregory T. Springer,0
Ignacy Sitnicki,0
Sarah Middle,0
Stephen H. Lubow,0
Ho,0
Michael I. Trofimov,0
Motoko Ueyama,0
John Mallatratt,0
Alexey A. Baryshev,0
Dennis Brunning,0
Nancy A. Storch,0
Tiina Puurtinen,0
B. Sampaio,0
David Grantham,0
Vincent Krakowski,0
Donna Hamilton,0
Seetaiah Kilaru,0
Andreas Aurand,0
M. P. Levin,0
D. V. Shouse,0
Olivier Jautzy,0
Norbert Schrüfer,0
Chisako Miyamae,0
Graham Curtis,0
Ömer Küçüksakalli,0
C. F. O'Donnell,0
Wang Jiangxin,0
Sei-ichiro Kawase,0
Mohamed Ahmed Abdelshafy Abdallah,0
Ismael Ceylan,0
Hui Huang 0015,0
Erden Miray Yazgan Yalkin,0
K. Prazdny,0
Margaret Lamont,0
Henri-Philippe Mattelaer,0
João Bosco Batista Lacerda,0
F. Lapscher,0
Tracy Hresko Pearl,0
Neal M. Burns,0
Adnane Benhadid,0
Semyon Alesker,0
